Ticker,Name,MarketCap,Price,PreviousClose,PE_Ratio,Forward_PE_Ratio,Dividend_Rate,Dividend_Yield,Beta,Volume,Avg_Volume,PriceHint,Open,DayLow,DayHigh,RegularMarketPreviousClose,RegularMarketOpen,RegularMarketDayLow,RegularMarketDayHigh,ExDividendDate,PayoutRatio,FiveYearAvgDividendYield,AverageVolume10Days,AverageDailyVolume10Day,Bid,Ask,BidSize,AskSize,FiftyTwoWeekLow,FiftyTwoWeekHigh,PriceToSalesTrailing12Months,FiftyDayAverage,TwoHundredDayAverage,TrailingAnnualDividendRate,TrailingAnnualDividendYield,Currency,EnterpriseValue,ProfitMargins,FloatShares,SharesOutstanding,SharesShort,SharesShortPriorMonth,SharesShortPreviousMonthDate,DateShortInterest,SharesPercentSharesOut,HeldPercentInsiders,HeldPercentInstitutions,ShortRatio,ShortPercentOfFloat,ImpliedSharesOutstanding,BookValue,PriceToBook,LastFiscalYearEnd,NextFiscalYearEnd,MostRecentQuarter,EarningsQuarterlyGrowth,NetIncomeToCommon,TrailingEPS,ForwardEPS,PEGRatio,LastSplitFactor,LastSplitDate,EnterpriseToRevenue,EnterpriseToEBITDA,52WeekChange,SandP52WeekChange,LastDividendValue,LastDividendDate,Exchange,QuoteType,UnderlyingSymbol,ShortName,FirstTradeDateEpochUtc,TimeZoneFullName,TimeZoneShortName,UUID,MessageBoardId,GmtOffSetMilliseconds,CurrentPrice,TargetHighPrice,TargetLowPrice,TargetMeanPrice,TargetMedianPrice,RecommendationMean,RecommendationKey,NumberOfAnalystOpinions,TotalCash,TotalCashPerShare,EBITDA,TotalDebt,QuickRatio,CurrentRatio,TotalRevenue,DebtToEquity,RevenuePerShare,ReturnOnAssets,ReturnOnEquity,FreeCashFlow,OperatingCashFlow,EarningsGrowth,RevenueGrowth,GrossMargins,EBITDAMargins,OperatingMargins,FinancialCurrency,TrailingPegRatio
MMM,3M Company,55380373504,100.08,99.63,0.0,12.896907,6.04,0.060599998,1.044,2956667,5975595,2,99.93,99.8,101.2,99.63,99.93,99.8,101.2,1707955200,0.6167,4.29,6347930,6347930,99.98,99.98,800,800,71.36288,101.74,1.696027,90.225845,84.3953,6.01,0.0603232,USD,66483380224,-0.21569,552503547,553361024,9091474,7121829,1711584000,1714435200,0.0164,0.00107,0.64564,1.79,0.0165,553361024,8.794,11.380487,1703980800,1735603200,1711843200,-0.049,-7042999808,-12.73,7.76,-2.66,1196:1000,1711929600,2.036,8.161,0.21576858,0.2704494,1.51,1707955200,NYQ,EQUITY,MMM,3M Company,-252322200,America/New_York,EDT,375388b3-dab7-3763-90cd-457ad19388a2,finmb_289194,-14400000,100.08,115.0,87.0,102.0,102.0,2.9,hold,13,10970999808,19.826,8145999872,22256001024,1.195,1.643,32653000704,451.166,58.89,0.07582,-0.69286,8903374848,6172000256,-0.051,-0.003,0.4455,0.24947001,0.21704,USD,11.4718
AOS,A. O. Smith Corporation,12672287744,86.4,86.06,22.441559,19.86207,1.28,0.0149,1.26,490418,959126,2,86.54,86.13,86.78,86.06,86.54,86.13,86.78,1714348800,0.32209998,1.77,708780,708780,75.56,138.19,800,1100,63.88,89.96,3.2785592,86.2664,77.4042,1.24,0.014408553,USD,12465430528,0.14936,118513855,120784000,3603538,3932981,1711584000,1714435200,0.024600001,0.00848,0.98879,3.13,0.03,146687008,12.83,6.7342167,1703980800,1735603200,1711843200,0.163,577299968,3.85,4.35,2.12,2:1,1475712000,3.225,15.108,0.28046417,0.2704494,0.32,1714348800,NYQ,EQUITY,AOS,A.O. Smith Corporation,433776600,America/New_York,EDT,4cc854cc-0565-35cc-abef-bc91f30d07b0,finmb_997111,-14400000,86.4,95.0,73.0,88.23,90.0,2.7,hold,10,303100000,2.067,825100032,146100000,1.005,1.654,3865200128,7.764,25.937,0.14313,0.31443,454975008,657000000,0.19,0.013,0.38689,0.21347,0.19657,USD,2.1145
ABT,Abbott Laboratories,180938915840,104.01,104.77,32.40187,20.235409,2.2,0.021,0.751,6553824,5704170,2,104.85,103.36,105.13,104.77,104.85,103.36,105.13,1712880000,0.648,1.6,5177460,5177460,103.92,103.65,800,1100,89.67,121.64,4.4869046,110.9836,106.4177,2.12,0.020234799,USD,190548508672,0.13961,1728326860,1739629952,14478910,14481157,1711584000,1714435200,0.0083,0.0053,0.77312,2.74,0.0084,1743920000,22.309,4.662244,1703980800,1735603200,1711843200,-0.071,5608000000,3.21,5.14,2.79,10000:4798,1357084800,4.725,18.379,-0.042234182,0.2704494,0.55,1712880000,NYQ,EQUITY,ABT,Abbott Laboratories,322151400,America/New_York,EDT,5f9c82b0-139d-3f8f-b30c-efd7ee9ccdcf,finmb_247483,-14400000,104.01,143.0,107.0,126.23,125.0,2.0,buy,21,6650999808,3.823,10368000000,14705000448,0.945,1.596,40326000640,37.664,23.181,0.060900003,0.14762,4607124992,7143000064,-0.067,0.022,0.55265,0.2571,0.15405,USD,5.7102
ABBV,AbbVie Inc.,285346922496,161.59,161.28,48.23582,13.387738,6.2,0.038399998,0.593,3929905,5682345,2,161.65,159.715,162.25,161.28,161.65,159.715,162.25,1712880000,1.7827001,4.4,4998820,4998820,159.57,162.25,800,1000,130.96,182.89,5.2450585,171.0496,158.00716,6.06,0.037574403,USD,341129166848,0.11016,1761982872,1765869952,14477382,13120924,1711584000,1714435200,0.0082,0.00105,0.72419,2.6,0.0082,1765869952,4.535,35.631752,1703980800,1735603200,1711843200,4.728,5951000064,3.35,12.07,2.35,,0,6.27,13.062,0.12554955,0.2704494,1.55,1712880000,NYQ,EQUITY,ABBV,AbbVie Inc.,1357137000,America/New_York,EDT,73238d42-cdcc-3f92-8141-dd675addae10,finmb_141885706,-14400000,161.59,207.0,161.0,182.41,182.5,2.2,buy,24,18069000192,10.232,26115999744,74358996992,0.723,0.936,54402998272,924.059,30.775,0.07705,0.56244,23611500544,22685999104,4.964,0.007,0.69174004,0.48005,0.28294,USD,0.4247
ACN,Accenture plc,192988381184,306.95,307.41,27.803444,23.39558,5.16,0.0168,1.207,1810768,2723860,2,308.9,306.22,312.29,307.41,308.9,306.22,312.29,1712707200,0.437,1.34,2715480,2715480,305.25,311.48,800,1100,276.36,387.51,2.9886575,335.222,332.69666,4.99,0.016232392,USD,192144064512,0.10889,627414901,628729024,6883380,7066252,1711584000,1714435200,0.0109,0.0014399999,0.73696,2.27,0.011,628729024,43.132,7.116526,1693440000,1725062400,1709164800,0.099,7031262208,11.04,13.12,3.35,,0,2.976,17.038,0.10107815,0.2704494,1.29,1712707200,NYQ,EQUITY,ACN,Accenture plc,995549400,America/New_York,EDT,64bf532c-0542-3794-9f22-7d6062a2458b,finmb_972190,-14400000,306.95,440.0,340.0,389.77,395.0,2.1,buy,22,5125646848,8.152,11277210624,3158580992,1.128,1.26,64573603840,11.298,102.561,0.12888,0.27381,8528630272,9298353152,0.101,-0.001,0.32578,0.17464,0.13683,USD,1.976
ADBE,Adobe Inc.,213225603072,475.95,483.11,45.41508,23.365242,0.0,0.0,1.281,3775406,3824416,2,480.41,466.48,481.5624,483.11,480.41,466.48,481.5624,1111622400,0.0,0.12,2534960,2534960,475.23,476.01,100,100,341.17,638.25,10.695506,500.766,550.4305,0.0,0.0,USD,213699280896,0.24082,446705280,448000000,6866382,5690991,1711584000,1714435200,0.0153,0.00209,0.85558,2.33,0.0154,448084000,34.128,13.946028,1701388800,1733011200,1709251200,-0.503,4800999936,10.48,20.37,2.01,2:1,1116892800,10.719,28.159,0.39987254,0.2704494,0.0065,1111622400,NMS,EQUITY,ADBE,Adobe Inc.,524323800,America/New_York,EDT,bccf427f-30a1-3360-9ce4-c77a8198c902,finmb_24321,-14400000,475.95,732.52,445.0,621.87,645.0,2.0,buy,32,6819999744,15.223,7589000192,4086000128,0.931,1.049,19936000000,26.429,43.762,0.15724,0.32367,6730375168,6783000064,-0.498,0.113,0.88082004,0.38067,0.368,USD,1.7923
AMD,"Advanced Micro Devices, Inc.",247554048000,153.16,150.56,221.97102,27.398926,0.0,0.0,1.66,31698568,62112680,2,150.48,148.78,153.4879,150.56,150.48,148.78,153.4879,798940800,0.0,0.0,45876510,45876510,153.09,153.17,100,100,93.12,227.3,10.857635,171.6592,139.1162,0.0,0.0,USD,240315219968,0.04895,1605597710,1616310016,32540263,32846511,1711584000,1714435200,0.0201,0.00465,0.75303,0.58,0.0202,1616310016,34.733,4.4096394,1703894400,1735516800,1711756800,0.0,1116000000,0.69,5.59,1.74,2:1,966902400,10.54,62.631,0.4836421,0.2704494,0.0,0,NMS,EQUITY,AMD,"Advanced Micro Devices, Inc.",322151400,America/New_York,EDT,48af4341-f745-363f-945f-a838eeabb062,finmb_168864,-14400000,153.16,250.0,60.0,183.98,190.0,1.9,buy,41,6034999808,3.734,3836999936,2998000128,1.715,2.639,22799998976,5.335,14.113,0.00537,0.020130001,2385499904,1702000000,0.0,0.022,0.50561,0.16829,0.00658,USD,0.59
AES,The AES Corporation,14440753152,20.32,19.96,27.835615,9.769231,0.68,0.0339,1.072,6496362,9506311,2,20.19,20.05,20.455,19.96,20.19,20.05,20.455,1714435200,0.9181,3.03,9290770,9290770,20.0,20.48,3100,4000,11.43,22.6,1.1539679,17.1816,17.0471,0.677,0.033917837,USD,47156908032,0.04235,706523460,710667008,14330653,13806805,1711584000,1714435200,0.0202,0.00484,0.90494,1.93,0.0307,712449024,4.081,4.9791718,1703980800,1735603200,1711843200,1.861,517000000,0.73,2.08,1.39,2:1,959904000,3.768,13.833,-0.042685866,0.2704494,0.173,1714435200,NYQ,EQUITY,AES,The AES Corporation,677943000,America/New_York,EDT,76b75934-57e2-3b50-befe-2dcd63cf388f,finmb_35312,-14400000,20.32,25.0,20.0,22.37,22.31,2.0,buy,9,2388000000,3.36,3408999936,30478000128,0.436,0.778,12513999872,391.647,18.56,0.03244,-0.014780001,-6414000128,2696000000,1.857,-0.048,0.20209,0.27241,0.17634001,USD,1.4975
AFL,Aflac Incorporated,49037561856,86.3,85.87,9.49395,12.507247,2.0,0.0233,0.91,1460065,2255273,2,85.87,85.54,86.58,85.87,85.87,85.54,86.58,1716249600,0.1936,2.37,2269210,2269210,86.28,86.3,1100,800,64.1,86.58,2.5359445,83.6216,80.34625,1.76,0.020496098,USD,52115263488,0.27667,563006165,568222016,12782645,12701786,1711584000,1714435200,0.0225,0.09928001,0.60866,5.67,0.0226,568222016,41.273,2.0909555,1703980800,1735603200,1711843200,0.582,5350000128,9.09,6.9,1.8,2:1,1521417600,2.695,8.244,0.31783307,0.2704494,0.5,1708387200,NYQ,EQUITY,AFL,AFLAC Incorporated,322151400,America/New_York,EDT,01f4ad68-2aaa-3fc1-a133-155881ac8929,finmb_250178,-14400000,86.3,95.0,77.0,85.25,84.0,2.8,hold,12,8439000064,14.852,6321500160,11761000448,1.36,1.531,19337000960,49.968,32.937,0.030250002,0.24699,4804250112,3148999936,0.675,0.133,0.48679,0.32691002,0.40784,USD,
A,"Agilent Technologies, Inc.",44333363200,151.28,147.76,36.191387,24.8,0.94,0.0064,1.126,1551534,1588418,2,148.75,148.38,151.55,147.76,148.75,148.38,151.55,1711929600,0.21790001,0.68,1355050,1355050,147.44,153.0,800,1100,96.8,152.81,6.5825334,142.956,127.83545,0.911,0.006165404,USD,44272848896,0.18351999,291859618,293055008,4703658,3953999,1711584000,1714435200,0.0161,0.00281,0.92735,3.76,0.018099999,293055008,21.116,7.164236,1698710400,1730332800,1706659200,-0.011,1236000000,4.18,6.1,3.34,1398:1000,1414972800,6.574,26.996,0.17000556,0.2704494,0.236,1711929600,NYQ,EQUITY,A,"Agilent Technologies, Inc.",942935400,America/New_York,EDT,7fc56270-e7a7-3fa8-9a59-35b72eacbe29,finmb_154924,-14400000,151.28,165.0,130.0,150.18,150.0,2.4,buy,17,1748000000,5.965,1640000000,2719000064,1.882,2.683,6735000064,43.94,22.967,0.07854,0.20954001,1024249984,1960999936,-0.008,-0.056,0.50557,0.24350001,0.24065,USD,2.8279
